,lat,long,Uwind,Vwind,WS,WD,Temperature,Cloud,Flux
0107201700,35.1999999999999,24.00000000000007,0.8505325317382812,-0.08215904235839844,0.8544914722442627,275.5174865722656,297.782958984375,0.0,29492672.0
0107201800,35.1999999999999,24.00000000000007,0.8682975769042969,-0.30419254302978516,0.9200401306152344,289.3070068359375,297.45947265625,0.0,29557536.0
0107201900,35.1999999999999,24.00000000000007,0.6482248306274414,-0.9311685562133789,1.1345793008804321,325.1566162109375,297.860595703125,0.0,29557536.0
0107202000,35.1999999999999,24.00000000000007,0.7023487091064453,-0.35471534729003906,0.7868396639823914,296.7956848144531,298.520751953125,0.0,29557536.0
0107202100,35.1999999999999,24.00000000000007,1.278883934020996,0.061966896057128906,1.2803843021392822,267.2259521484375,297.617919921875,0.0,29557536.0
0107202200,35.1999999999999,24.00000000000007,1.7784671783447266,-0.07670402526855469,1.7801204919815063,272.4696044921875,297.013916015625,0.0,29557536.0
0107202300,35.1999999999999,24.00000000000007,1.646622657775879,0.0023365020751953125,1.6466243267059326,269.918701171875,296.73876953125,0.0,29557536.0
0207200000,35.1999999999999,24.00000000000007,0.5996360778808594,-0.10913658142089844,0.6094868779182434,280.315185546875,296.9912109375,0.0,29557536.0
0207200100,35.1999999999999,24.00000000000007,0.034110069274902344,-0.49881458282470703,0.4999794661998749,356.08807373046875,297.111572265625,0.0,29557536.0
0207200200,35.1999999999999,24.00000000000007,0.04178333282470703,-0.6868743896484375,0.6881440877914429,356.5189208984375,297.00537109375,0.0,29557536.0
0207200300,35.1999999999999,24.00000000000007,0.4454345703125,-0.4263496398925781,0.6165922284126282,313.74591064453125,296.512451171875,0.0,29557536.0
0207200400,35.1999999999999,24.00000000000007,0.39713096618652344,-0.4129800796508789,0.5729446411132812,316.12078857421875,296.593017578125,0.0,29636496.0
0207200500,35.1999999999999,24.00000000000007,0.19574642181396484,-0.6679391860961914,0.6960312128067017,343.666259765625,297.106689453125,0.0,30203232.0
0207200600,35.1999999999999,24.00000000000007,0.6892814636230469,-0.04162311553955078,0.6905370354652405,273.4556884765625,297.095703125,0.0,31451856.0
0207200700,35.1999999999999,24.00000000000007,1.1744117736816406,0.33788013458251953,1.2220499515533447,253.9493865966797,297.522216796875,0.0,33395248.0
0207200800,35.1999999999999,24.00000000000007,1.049727439880371,0.37580299377441406,1.1149688959121704,250.3026123046875,297.967041015625,0.015625,35959568.0
0207200900,35.1999999999999,24.00000000000007,0.6018962860107422,0.6840047836303711,0.911121129989624,221.34646606445312,298.221923828125,0.0,39012336.0
0207201000,35.1999999999999,24.00000000000007,-0.07256126403808594,1.0861930847167969,1.0886139869689941,176.17813110351562,298.556396484375,0.0078125,42390416.0
0207201100,35.1999999999999,24.00000000000007,-0.1931285858154297,1.6407413482666016,1.6520686149597168,173.28671264648438,298.77978515625,0.01953125,45880304.0
0207201200,35.1999999999999,24.00000000000007,0.38750553131103516,1.9326982498168945,1.9711629152297974,191.33746337890625,299.077880859375,0.0078125,49262096.0
0207201300,35.1999999999999,24.00000000000007,0.6116781234741211,1.6529045104980469,1.7624537944793701,200.30763244628906,299.211181640625,0.0078125,52335952.0
0207201400,35.1999999999999,24.00000000000007,0.7500143051147461,1.3522539138793945,1.5463221073150635,209.01451110839844,299.084716796875,0.0,54921280.0
0207201500,35.1999999999999,24.00000000000007,1.2222270965576172,1.0985307693481445,1.6433528661727905,228.0509796142578,298.94384765625,0.0,56876112.0
0207201600,35.1999999999999,24.00000000000007,0.9571104049682617,1.4837255477905273,1.765644907951355,212.824951171875,298.523193359375,0.0,58120672.0
0207201700,35.1999999999999,24.00000000000007,0.2640848159790039,1.200479507446289,1.2291834354400635,192.40647888183594,298.066650390625,0.0,58666896.0
0207201800,35.1999999999999,24.00000000000007,0.21665573120117188,0.4735279083251953,0.5207383036613464,204.5857696533203,297.51806640625,0.0,58731408.0
0207201900,35.1999999999999,24.00000000000007,0.8530349731445312,0.1747150421142578,0.8707433342933655,258.42498779296875,297.384033203125,0.0,58731056.0
0207202000,35.1999999999999,24.00000000000007,1.0440998077392578,0.6498069763183594,1.2297940254211426,238.10348510742188,297.227294921875,0.0,58731056.0
0207202100,35.1999999999999,24.00000000000007,0.6604423522949219,0.5120477676391602,0.8356895446777344,232.2132110595703,296.92724609375,0.0,58731056.0
0207202200,35.1999999999999,24.00000000000007,-0.08044719696044922,0.12319564819335938,0.14713571965694427,146.85531616210938,296.734619140625,0.0,58731056.0
0207202300,35.1999999999999,24.00000000000007,-0.40114784240722656,-0.23297882080078125,0.46389517188072205,59.852821350097656,296.81982421875,0.0,58731056.0
0307200000,35.1999999999999,24.00000000000007,-0.36715221405029297,-0.21334266662597656,0.4246361255645752,59.840240478515625,296.519775390625,0.0,58731056.0
0207200000,35.1999999999999,24.00000000000007,1.047842025756836,-0.26875782012939453,1.0817595720291138,284.3855285644531,297.257568359375,0.0,0.0
0207200100,35.1999999999999,24.00000000000007,0.9994211196899414,-0.42224979400634766,1.084959626197815,292.9037780761719,297.611083984375,0.0,0.0
